Name,Confirmed,Confirmed Per Million,Confirmed Changes Today,Confirmed Percentage Day Change,Critical,Deceased,Deceased Per Million,Deceased Changes Today,Death Percentage Day Change,Tests,Active,Recovered,Recovered Per Million,Population
Ivory Coast,"21,705",814,0,0%,NA,133,5,0,0%,"235,378",254,"21,318",799,"26,670,661"
Croatia,"177,358","43,325",0,0%,284,"2,705",661,0,0%,"888,080","22,769","151,884","37,103","4,093,632"
Cuba,"9,492",838,0,0%,8,137,12,0,0%,"1,261,754",871,"8,484",749,"11,323,452"
Cyprus,"15,450","12,754",0,0%,16,82,68,0,0%,"666,123","13,311","2,057","1,698","1,211,355"
Czechia,"586,251","54,698","5,169",0.89%,506,"9,743",909,62,0.64%,"3,374,045","64,710","511,798","47,751","10,718,055"
Denmark,"113,095","19,494",0,0%,61,950,164,0,0%,"8,664,885","31,581","80,564","13,887","5,801,506"
Djibouti,"5,733",NA,0,0%,NA,61,61,0,0%,"95,460",50,"5,622",NA,"994,492"
Dominica,88,NA,0,0%,NA,NA,NA,0,0%,"6,618",NA,83,NA,"72,068"
Dominican Republic,"155,184","14,241",0,0%,234,"2,364",217,0,0%,"793,563","31,813","121,007","11,104","10,897,258"
Ecuador,"202,180","11,381",0,0%,358,"13,875",781,0,0%,"691,163","10,354","177,951","10,017","17,764,038"
Egypt,"122,086","1,183",0,0%,90,"6,943",67,0,0%,"1,000,000","10,011","105,132","1,019","103,203,122"
El Salvador,"42,132","6,481",252,0.6%,83,"1,212",186,7,0.58%,"587,066","2,660","38,260","5,885","6,501,114"
Equatorial Guinea,"5,185","3,643",0,0%,NA,85,60,0,0%,"72,627",42,"5,058","3,553","1,423,458"
Eritrea,711,199,0,0%,NA,NA,NA,0,0%,"23,693",NA,564,158,"3,568,613"
Estonia,"18,682","14,079",301,1.64%,24,157,118,3,1.95%,"553,223","6,856","11,669","8,794","1,326,943"
Eswatini,"6,825","5,855",0,0%,11,130,112,0,0%,"63,144",279,"6,416","5,504","1,165,612"
Ethiopia,"117,242","1,009",0,0%,297,"1,809",16,0,0%,"1,711,099","20,208","95,225",819,"116,238,254"
Fiji,46,NA,0,0%,NA,2,2,0,0%,"18,616",6,38,NA,"899,399"
Finland,"31,110","5,611",0,0%,28,461,83,0,0%,"2,169,813","10,649","20,000","3,607","5,544,652"
France,"2,379,915","36,424",0,0%,"2,906","58,282",892,0,0%,"29,186,274","2,143,986","177,647","2,719","65,339,460"
Gabon,"9,351","4,157",0,0%,5,63,28,0,0%,"333,996",84,"9,204","4,092","2,249,268"
The Gambia,"3,782","1,546",0,0%,1,123,50,0,0%,"27,056",12,"3,647","1,490","2,446,963"
Georgia,"194,900","48,900","3,837",2.01%,NA,"1,883",472,44,2.39%,"1,745,595","28,231","164,786","41,345","3,985,659"
Ghana,"53,014","1,690",0,0%,14,327,10,0,0%,"622,086",926,"51,761","1,650","31,364,331"
Greece,"125,173","12,036",0,0%,558,"3,687",355,0,0%,"2,589,438","98,412","23,074","2,219","10,399,679"
Grenada,69,NA,0,0%,NA,NA,NA,0,0%,"6,252",NA,41,NA,"112,761"
Guatemala,"129,405","7,163",0,0%,5,"4,445",246,0,0%,"581,933","6,743","118,217","6,544","18,064,779"
Guinea,"13,457","1,012",0,0%,24,80,6,0,0%,"85,157",664,"12,713",956,"13,291,891"
Guinea-Bissau,"2,444","1,229",0,0%,5,44,22,0,0%,"33,033",63,"2,337","1,175","1,988,844"
Guyana,"5,943",NA,0,0%,8,156,NA,0,0%,"34,038",710,"5,077",NA,"788,281"
Haiti,"9,588",836,0,0%,NA,234,20,0,0%,"34,734","1,074","8,280",722,"11,465,467"
Vatican City,27,NA,0,0%,NA,NA,NA,0,0%,NA,NA,15,NA,802
Honduras,"114,642","11,492",283,0.25%,112,"2,989",300,14,0.47%,"284,003","59,965","51,688","5,181","9,975,699"
Hungary,"285,763","29,615","1,893",0.67%,597,"7,237",750,107,1.5%,"2,393,535","195,411","83,115","8,614","9,649,109"
Iceland,"5,564",NA,0,0%,3,28,NA,0,0%,"408,658",144,"5,392",NA,"342,251"
Indonesia,"629,429","2,290","6,120",0.98%,NA,"19,111",70,155,0.82%,"6,424,385","93,662","516,656","1,880","274,835,073"
Iran,"1,115,770","13,208",0,0%,"5,711","52,447",621,0,0%,"6,750,359","240,092","823,231","9,745","84,479,467"
Iraq,"575,972","14,177",0,0%,197,"12,603",310,0,0%,"3,933,815","53,895","509,474","12,540","40,627,394"
Ireland,"76,449","15,404",0,0%,34,"2,126",428,0,0%,"2,122,513","50,959","23,364","4,708","4,962,783"
Israel,"360,297","39,173",791,0.22%,344,"3,004",327,0,0%,"6,695,183","18,651","338,642","36,819","9,197,590"
Jamaica,"11,792","3,974",0,0%,14,273,92,0,0%,"126,540","3,421","8,098","2,729","2,967,058"
Jordan,"262,477","25,610",0,0%,324,"3,407",332,0,0%,"2,850,723","36,416","222,654","21,724","10,249,087"
Kazakhstan,"186,960","9,903",661,0.35%,221,"2,554",135,0,0%,"4,871,752","25,701","158,705","8,407","18,878,422"
Kenya,"92,055","1,695",0,0%,49,"1,593",29,0,0%,"973,805","17,010","73,452","1,353","54,302,834"
South Korea,"44,364",865,880,2.02%,205,600,12,13,2.21%,"3,441,220","11,205","32,559",635,"51,289,353"
Kosovo,"46,909",NA,0,0%,NA,"1,203",NA,0,0%,NA,NA,"34,155",NA,NA
Kuwait,"146,449","34,065",0,0%,57,912,212,0,0%,"1,185,625","3,180","142,357","33,113","4,299,102"
Kyrgyzstan,"77,910","11,853",236,0.3%,94,"1,316",200,4,0.3%,"551,378","5,727","70,867","10,782","6,572,746"
Laos,41,6,0,0%,NA,NA,NA,0,0%,"85,064",NA,34,5,"7,323,265"
Latvia,"25,885","13,794",0,0%,37,352,188,0,0%,"731,547","8,664","16,869","8,989","1,876,579"
Lebanon,"147,613","21,671",0,0%,414,"1,210",178,0,0%,"1,790,561","43,346","103,057","15,130","6,811,416"
Lesotho,"2,277","1,059",0,0%,NA,44,20,0,0%,"28,015",893,"1,340",623,"2,149,967"
Liberia,"1,676",328,0,0%,2,83,16,0,0%,"35,957",235,"1,358",266,"5,110,955"
Libya,"91,357","13,214",0,0%,NA,"1,314",190,0,0%,"487,044","28,590","61,453","8,889","6,913,547"
Liechtenstein,"1,566",NA,0,0%,16,20,NA,0,0%,"16,453",195,"1,351",NA,"38,178"
Lithuania,"96,452","35,660","1,432",1.51%,180,863,319,38,4.61%,"1,430,715","53,924","41,665","15,404","2,704,732"
Luxembourg,"41,900",NA,0,0%,50,410,NA,0,0%,"1,519,424","8,123","33,367",NA,"630,572"
Madagascar,"17,587",628,0,0%,16,259,9,0,0%,"96,565",336,"16,992",607,"28,009,386"
Malawi,"6,070",314,0,0%,4,187,10,0,0%,"79,223",392,"5,491",284,"19,350,997"
Malaysia,"84,846","2,606",0,0%,114,419,13,0,0%,"2,960,653","13,830","70,597","2,169","32,553,661"
Maldives,"13,379",NA,0,0%,12,48,NA,0,0%,"271,346",600,"12,731",NA,"544,834"
Mali,"5,836",285,0,0%,NA,201,10,0,0%,"117,959","2,005","3,630",177,"20,510,923"
Malta,"11,254",NA,0,0%,18,174,NA,0,0%,"467,407","1,761","9,319",NA,"442,080"
Marshall Islands,4,NA,0,0%,NA,NA,NA,0,0%,NA,NA,4,NA,"59,372"
Mauritania,"11,135","2,367",0,0%,37,228,48,0,0%,"121,358","2,789","8,118","1,726","4,704,286"
Mauritius,523,411,0,0%,NA,10,8,0,0%,"289,552",24,489,384,"1,272,732"
Moldova,"127,253","31,579",0,0%,286,"2,598",645,0,0%,"507,145","14,476","110,179","27,342","4,029,667"
Monaco,671,NA,0,0%,4,3,NA,0,0%,"51,953",63,605,NA,"39,369"
Mongolia,917,278,5,0.55%,6,NA,NA,0,0%,"439,523",NA,384,116,"3,302,111"
Montenegro,"41,803",NA,0,0%,68,585,NA,0,0%,"155,492","10,080","31,138",NA,"628,102"
Morocco,"400,826","10,801",0,0%,"1,039","6,659",179,0,0%,"4,204,412","35,102","359,065","9,676","37,108,711"
Mozambique,"17,002",537,0,0%,NA,143,5,0,0%,"249,302","1,853","15,006",474,"31,646,196"
Namibia,"16,726","6,529",0,0%,10,163,64,0,0%,"177,749","1,726","14,837","5,792","2,561,630"
Nepal,"249,244","8,486",0,0%,NA,"1,716",58,0,0%,"1,836,464","10,955","236,573","8,054","29,372,866"
New Zealand,"2,096",419,0,0%,NA,25,5,0,0%,"1,341,978",56,"2,015",403,"5,002,100"
Nicaragua,"5,887",884,0,0%,NA,162,24,0,0%,NA,NA,"4,225",634,"6,660,250"
Niger,"2,322",94,0,0%,9,82,3,0,0%,"53,223",946,"1,294",53,"24,594,568"
Nigeria,"73,374",352,0,0%,10,"1,197",6,0,0%,"848,194","5,863","66,314",318,"208,426,526"
North Macedonia,"73,851","35,448",0,0%,138,"2,147","1,031",0,0%,"365,599","21,658","50,046","24,022","2,083,335"
Norway,"41,334","7,597",0,0%,35,393,72,0,0%,"2,500,706","6,159","34,782","6,393","5,440,507"
Oman,"126,719","24,535",215,0.17%,54,"1,475",286,3,0.2%,"571,472","6,739","118,505","22,945","5,164,724"
Panama,"194,619","44,787",0,0%,185,"3,382",778,0,0%,"1,072,669","27,903","163,334","37,588","4,345,425"
Papua New Guinea,725,80,0,0%,NA,8,1,0,0%,"32,221",116,601,67,"9,023,299"
Paraguay,"94,223","13,137",0,0%,160,"1,971",275,0,0%,"504,284","25,010","67,242","9,375","7,172,205"
Philippines,"451,839","4,099","1,135",0.25%,708,"8,812",80,56,0.64%,"6,264,737","24,160","418,867","3,800","110,240,817"
Poland,"1,140,572","30,152",0,0%,"1,739","22,960",607,0,0%,"6,695,762","237,864","879,748","23,257","37,827,635"
Portugal,"350,938","34,463",0,0%,513,"5,649",555,0,0%,"4,939,014","71,012","274,277","26,935","10,183,079"
Qatar,"141,121","50,260",0,0%,21,241,86,0,0%,"1,171,929","2,161","138,719","49,405","2,807,805"
Romania,"559,587","29,178",0,0%,"1,289","13,494",704,0,0%,"4,436,130","85,313","460,780","24,026","19,178,690"
Rwanda,"6,747",515,0,0%,NA,56,4,0,0%,"671,223",695,"5,996",458,"13,095,932"
Saint Kitts and Nevis,28,NA,0,0%,NA,NA,NA,0,0%,"4,525",NA,23,NA,"53,370"
Saint Lucia,278,NA,0,0%,NA,4,NA,0,0%,"17,752",34,240,NA,"184,009"
Saint Vincent and the Grenadines,98,NA,0,0%,NA,NA,NA,0,0%,"11,720",NA,81,NA,"111,101"
Samoa,2,NA,0,0%,NA,NA,NA,0,0%,NA,NA,2,NA,"199,014"
San Marino,"1,934",NA,0,0%,5,51,NA,0,0%,"21,559",275,"1,608",NA,"33,964"
SÃ£o TomÃ© and PrÃ­ncipe,"1,010",NA,0,0%,NA,17,NA,0,0%,"7,498",41,952,NA,"220,991"
Saudi Arabia,"360,013","10,269",0,0%,493,"6,059",173,0,0%,"10,409,634","3,162","350,792","10,006","35,058,625"
Senegal,"17,146","1,012",0,0%,21,350,21,0,0%,"246,147",637,"16,159",954,"16,941,139"
Serbia,"271,364","31,115",0,0%,334,"2,380",273,0,0%,"2,046,456","237,448","31,536","3,616","8,721,223"
Seychelles,187,NA,0,0%,NA,NA,NA,0,0%,"5,200",NA,182,NA,"98,624"
Sierra Leone,"2,445",304,0,0%,NA,75,9,0,0%,NA,NA,"1,851",230,"8,049,896"
Singapore,"58,341","9,937",16,0.03%,NA,29,5,0,0%,"4,834,370",102,"58,210","9,914","5,871,253"
Slovakia,"135,523","24,817","2,034",1.52%,288,"1,251",229,46,3.82%,"1,229,863","33,969","100,303","18,368","5,460,851"
Slovenia,"96,745","46,533",0,0%,207,"2,107","1,013",0,0%,"594,115","20,878","73,760","35,477","2,079,069"
Solomon Islands,17,NA,0,0%,NA,NA,NA,0,0%,"4,500",NA,5,NA,"694,426"
Somalia,"4,579",285,0,0%,NA,121,8,0,0%,NA,NA,"3,529",219,"16,091,111"
South Africa,"866,127","14,521",0,0%,546,"23,451",393,0,0%,"5,884,227","79,930","762,746","12,788","59,647,146"
South Sudan,"3,206",285,0,0%,1,62,6,0,0%,"63,753",101,"3,043",270,"11,253,171"
Sri Lanka,"33,478","1,560",0,0%,NA,154,7,0,0%,"1,017,682","9,015","24,309","1,133","21,454,178"
Sudan,"21,591",487,0,0%,NA,"1,355",31,0,0%,NA,NA,"12,452",281,"44,308,148"
Suriname,"5,359",NA,0,0%,3,117,NA,0,0%,"22,709",15,"5,227",NA,"589,019"
Switzerland,"384,557","44,286",0,0%,465,"6,154",709,0,0%,"3,095,612","70,103","308,300","35,505","8,683,400"
Syria,"9,302",526,0,0%,NA,530,30,0,0%,NA,NA,"4,432",251,"17,691,041"
Taiwan,742,31,2,0.27%,NA,7,NA,0,0%,"116,235",124,611,26,"23,836,464"
Tajikistan,"12,741","1,323",0,0%,NA,88,9,0,0%,NA,NA,"12,172","1,263","9,633,743"
Tanzania,509,8,0,0%,7,21,NA,0,0%,NA,NA,183,3,"60,493,132"
Thailand,"4,246",61,9,0.21%,1,60,1,0,0%,"1,217,873",237,"3,949",57,"69,879,930"
Timor-Leste,31,23,0,0%,NA,NA,NA,0,0%,"14,932",NA,30,23,"1,329,745"
Togo,"3,266",390,0,0%,NA,66,8,0,0%,"161,413",411,"2,789",333,"8,365,684"
Trinidad and Tobago,"6,885","4,912",0,0%,2,123,88,0,0%,"38,692",582,"6,180","4,409","1,401,556"
Tunisia,"111,361","9,378",0,0%,280,"3,894",328,0,0%,"512,738","22,726","84,741","7,136","11,874,698"
Turkey,"1,866,345","22,022",0,0%,"5,980","16,646",196,0,0%,"21,284,005","217,755","1,631,944","19,256","84,750,497"
Uganda,"27,766",599,0,0%,NA,224,5,0,0%,"683,236","17,621","9,921",214,"46,383,419"
United Arab Emirates,"186,041","18,708",0,0%,NA,618,62,0,0%,"18,517,811","21,074","164,349","16,527","9,944,514"
Uruguay,"10,029","2,883",0,0%,39,95,27,0,0%,"514,906","3,341","6,593","1,895","3,479,221"
Uzbekistan,"75,241","2,233",147,0.2%,174,612,18,0,0%,"1,377,915","2,107","72,522","2,153","33,688,385"
Vanuatu,1,NA,0,0%,NA,NA,NA,0,0%,NA,NA,1,NA,"310,362"
Venezuela,"108,125","3,807",0,0%,51,960,34,0,0%,"2,347,543","4,128","103,037","3,628","28,399,006"
Vietnam,"1,402",14,0,0%,NA,35,NA,0,0%,"1,431,631",121,"1,246",13,"97,736,233"
Palestine,"111,102","21,554",0,0%,95,"1,000",194,0,0%,"778,959","23,045","87,057","16,889","5,154,573"
Yemen,"2,084",69,0,0%,23,606,20,0,0%,"17,404",94,"1,384",46,"30,120,759"
Zambia,"18,322",984,0,0%,NA,367,20,0,0%,"489,926",546,"17,409",935,"18,613,709"
Zimbabwe,"11,358",759,0,0%,NA,309,21,0,0%,"190,996","1,495","9,554",639,"14,960,685"
United States,"16,942,980","51,051",0,0%,"27,862","308,091",928,0,0%,"223,183,895","6,762,974","9,871,915","29,745","331,886,264"
India,"9,906,507","7,147",0,0%,"8,944","143,746",104,0,0%,"155,560,655","340,125","9,422,636","6,798","1,386,160,236"
Brazil,"6,929,409","32,495",0,0%,"8,318","181,945",853,0,0%,"25,700,000","731,379","6,016,085","28,212","213,246,552"
Russia,"2,707,945","18,552","26,689",1%,"2,300","47,968",329,577,1.22%,"83,439,508","510,367","2,149,610","14,727","145,963,074"
United Kingdom,"1,869,666","27,476",0,0%,"1,275","64,402",946,0,0%,"48,209,087",NA,NA,NA,"68,048,434"
Italy,"1,855,737","30,713",0,0%,"11,663","65,011","1,076",0,0%,"24,319,310","675,109","1,115,617","18,464","60,421,114"
Spain,"1,751,884","37,463",0,0%,"2,068","48,013","1,027",0,0%,"24,918,644","1,553,495","150,376","3,216","46,763,059"
Colombia,"1,434,516","28,057",0,0%,"2,376","39,195",767,0,0%,"7,122,577","73,852","1,321,469","25,846","51,128,785"
Germany,"1,357,141","16,175",0,0%,"4,670","22,887",273,0,0%,"30,494,036","350,054","984,200","11,730","83,906,168"
Mexico,"1,255,974","9,695","5,930",0.47%,"3,550","114,298",882,345,0.3%,"3,202,327","213,922","927,754","7,162","129,547,008"
Peru,"986,130","29,721",0,0%,"1,053","36,754","1,108",0,0%,"5,273,241","29,070","920,306","27,737","33,179,501"
Ukraine,"909,082","20,844","8,416",0.93%,177,"15,480",355,233,1.53%,"5,084,649","370,734","522,868","11,989","43,613,026"
Netherlands,"621,944","36,260",0,0%,515,"10,082",588,0,0%,"5,253,381",NA,NA,NA,"17,152,183"
Belgium,"609,211","52,461","1,074",0.18%,614,"18,054","1,555",103,0.57%,"6,351,409","549,457","41,700","3,591","11,612,613"
Chile,"573,830","29,901",0,0%,628,"15,931",830,0,0%,"5,822,181","11,361","546,538","28,479","19,190,731"
Canada,"472,807","12,478",0,0%,596,"13,569",358,0,0%,"12,634,757","74,230","385,008","10,161","37,892,433"
Pakistan,"443,246","1,989","2,459",0.56%,"2,495","8,905",40,73,0.83%,"6,098,771","48,008","386,333","1,734","222,821,830"
Sweden,"320,098","31,605",0,0%,253,"7,514",742,0,0%,"3,718,476",NA,NA,NA,"10,127,924"
Japan,"179,653","1,422",0,0%,588,"2,585",20,0,0%,"4,048,710","26,121","150,947","1,195","126,298,942"
Australia,"28,048","1,094",6,0.02%,1,908,35,0,0%,"10,417,583","1,451","25,689","1,002","25,633,918"
French Polynesia,"15,747",NA,0,0%,25,96,NA,0,0%,"26,355","10,809","4,842",NA,"281,647"
French Guiana,"11,855",NA,0,0%,NA,71,NA,0,0%,"89,832","1,789","9,995",NA,"302,144"
Reunion,"8,534",NA,0,0%,6,42,NA,0,0%,"48,859",455,"8,037",NA,"898,218"
Guadeloupe,"8,472",NA,0,0%,7,151,NA,0,0%,"78,966","6,079","2,242",NA,"400,155"
Martinique,"5,575",NA,0,0%,10,42,NA,0,0%,"67,378","5,435",98,NA,"375,132"
Mayotte,"5,551",NA,0,0%,4,52,NA,0,0%,"28,914","2,535","2,964",NA,"275,763"
Aruba,"5,056",NA,0,0%,4,46,NA,0,0%,"56,300",107,"4,903",NA,"106,973"
Curacao,"3,661",NA,0,0%,4,11,NA,0,0%,"28,851","1,873","1,777",NA,"164,399"
Channel Islands,"2,132",NA,0,0%,10,48,NA,0,0%,"199,491",767,"1,317",NA,"174,590"
Sint Maarten,"1,249",NA,0,0%,4,26,NA,0,0%,"8,306",124,"1,099",NA,"43,097"
Gibraltar,"1,082",NA,0,0%,NA,6,NA,0,0%,"102,705",40,"1,036",NA,"33,686"
Saint Martin,801,NA,0,0%,7,12,NA,0,0%,"7,838",114,675,NA,"38,963"
Turks and Caicos Islands,769,NA,0,0%,1,6,NA,0,0%,"10,461",22,741,NA,"38,954"
Faroe Islands,528,NA,0,0%,NA,NA,NA,0,0%,"176,383",NA,506,NA,"48,948"
Bermuda,431,NA,0,0%,2,9,NA,0,0%,"119,596",184,238,NA,"62,172"
Isle of Man,373,NA,0,0%,NA,25,NA,0,0%,"19,564",4,344,NA,"85,238"
Cayman Islands,298,NA,0,0%,1,2,NA,0,0%,"55,584",29,267,NA,"66,072"
Caribbean Netherlands,175,NA,0,0%,NA,3,NA,0,0%,"3,966",7,165,NA,"26,334"
Saint Barthelemy,162,NA,0,0%,NA,1,NA,0,0%,"5,315",34,127,NA,"9,891"
British Virgin Islands,76,NA,0,0%,NA,1,NA,0,0%,"9,229",3,72,NA,"30,323"
New Caledonia,36,NA,0,0%,NA,NA,NA,0,0%,"18,253",NA,35,NA,"286,744"
Greenland,19,NA,0,0%,NA,NA,NA,0,0%,"13,742",NA,18,NA,"56,815"
Falkland Islands,17,NA,0,0%,NA,NA,NA,0,0%,"4,746",NA,17,NA,"3,525"
Saint Pierre and Miquelon,14,NA,0,0%,NA,NA,NA,0,0%,"2,946",NA,14,NA,"5,781"
Montserrat,13,NA,0,0%,NA,1,NA,0,0%,626,0,12,NA,"4,993"
Western Sahara,10,NA,0,0%,NA,1,NA,0,0%,NA,NA,8,NA,"603,914"
Anguilla,10,NA,0,0%,NA,NA,NA,0,0%,"2,651",NA,4,NA,"15,064"
Wallis and Futuna,3,NA,0,0%,NA,NA,NA,0,0%,"1,149",NA,1,NA,"11,148"
China,"86,758",60,17,0.02%,7,"4,634",3,0,0%,"160,000,000",312,"81,812",57,"1,439,323,776"
