Name,Confirmed,Confirmed Per Million,Confirmed Changes Today,Confirmed Percentage Day Change,Critical,Deceased,Deceased Per Million,Deceased Changes Today,Death Percentage Day Change,Tests,Active,Recovered,Recovered Per Million,Population
Oman,"126,504","24,496",264,0.21%,57,"1,472",285,1,0.07%,"571,472","6,745","118,287","22,904","5,164,368"
Panama,"193,007","44,418",0,0%,188,"3,356",772,0,0%,"1,063,099","27,546","162,105","37,306","4,345,239"
Papua New Guinea,725,80,4,0.55%,NA,8,1,0,0%,"32,221",116,601,67,"9,022,835"
Paraguay,"93,582","13,048",0,0%,143,"1,953",272,0,0%,"500,744","25,086","66,543","9,278","7,171,966"
Philippines,"450,733","4,089","1,339",0.3%,708,"8,757",79,24,0.27%,"6,236,830","23,253","418,723","3,798","110,236,832"
Poland,"1,140,572","30,152","4,896",0.43%,"1,807","22,960",607,96,0.42%,"6,695,762","248,457","869,155","22,977","37,827,748"
Portugal,"348,744","34,247",0,0%,513,"5,559",546,0,0%,"4,939,014","71,863","271,322","26,644","10,183,160"
Qatar,"140,961","50,203",0,0%,24,240,85,0,0%,"1,167,017","2,231","138,490","49,323","2,807,805"
Romania,"556,335","29,007",0,0%,"1,289","13,385",698,0,0%,"4,428,071","85,590","457,360","23,847","19,179,039"
Rwanda,"6,659",509,0,0%,NA,56,4,0,0%,"667,894",648,"5,955",455,"13,095,052"
Saint Kitts and Nevis,27,NA,0,0%,NA,NA,NA,0,0%,"4,376",NA,23,NA,"53,369"
Saint Lucia,275,NA,0,0%,NA,4,NA,0,0%,"17,571",68,203,NA,"184,007"
Saint Vincent and the Grenadines,98,NA,0,0%,NA,NA,NA,0,0%,"11,720",NA,81,NA,"111,100"
Samoa,2,NA,0,0%,NA,NA,NA,0,0%,NA,NA,2,NA,"199,010"
San Marino,"1,932",NA,0,0%,5,51,NA,0,0%,"21,402",306,"1,575",NA,"33,963"
SÃ£o TomÃ© and PrÃ­ncipe,"1,009",NA,0,0%,NA,17,NA,0,0%,"7,498",42,950,NA,"220,980"
Saudi Arabia,"359,888","10,266",0,0%,499,"6,048",173,0,0%,"10,349,590","3,291","350,549","9,999","35,057,143"
Senegal,"17,146","1,012",71,0.42%,21,350,21,1,0.29%,"246,147",637,"16,159",954,"16,939,929"
Serbia,"266,432","30,550",0,0%,331,"2,331",267,0,0%,"2,030,691","232,565","31,536","3,616","8,721,319"
Seychelles,187,NA,0,0%,NA,NA,NA,0,0%,"5,200",NA,182,NA,"98,622"
Sierra Leone,"2,440",303,0,0%,NA,75,9,0,0%,NA,NA,"1,850",230,"8,049,452"
Singapore,"58,325","9,934",5,0.01%,NA,29,5,0,0%,"4,834,370",88,"58,208","9,914","5,871,127"
Slovakia,"133,489","24,445",505,0.38%,282,"1,205",221,30,2.55%,"1,218,962","33,699","98,585","18,053","5,460,844"
Slovenia,"96,745","46,533",431,0.45%,207,"2,107","1,013",44,2.13%,"594,115","20,878","73,760","35,477","2,079,068"
Solomon Islands,17,NA,0,0%,NA,NA,NA,0,0%,"4,500",NA,5,NA,"694,379"
Somalia,"4,579",285,0,0%,NA,121,8,0,0%,NA,NA,"3,529",219,"16,089,895"
South Africa,"860,964","14,435",0,0%,546,"23,276",390,0,0%,"5,859,178","76,677","761,011","12,759","59,645,103"
South Sudan,"3,206",285,0,0%,1,62,6,0,0%,"63,753",101,"3,043",270,"11,252,813"
Sri Lanka,"32,790","1,528",0,0%,NA,152,7,0,0%,"1,017,682","8,845","23,793","1,109","21,453,933"
Sudan,"21,386",483,0,0%,NA,"1,347",30,0,0%,NA,NA,"12,313",278,"44,305,343"
Suriname,"5,353",NA,0,0%,3,117,NA,0,0%,"22,676",12,"5,224",NA,"589,004"
Switzerland,"384,557","44,287","10,726",2.87%,454,"6,046",696,61,1.02%,"3,095,612","87,011","291,500","33,570","8,683,227"
Syria,"9,166",518,0,0%,NA,518,29,0,0%,NA,NA,"4,376",247,"17,689,876"
Taiwan,740,31,4,0.54%,NA,7,NA,0,0%,"115,384",127,606,25,"23,836,347"
Tajikistan,"12,704","1,319",0,0%,NA,88,9,0,0%,NA,NA,"12,133","1,260","9,633,156"
Tanzania,509,8,0,0%,7,21,NA,0,0%,NA,NA,183,3,"60,488,464"
Thailand,"4,237",61,28,0.67%,1,60,1,0,0%,"977,854",237,"3,940",56,"69,879,453"
Timor-Leste,31,23,0,0%,NA,NA,NA,0,0%,"14,932",NA,30,23,"1,329,677"
Togo,"3,251",389,0,0%,NA,66,8,0,0%,"160,765",414,"2,771",331,"8,365,153"
Trinidad and Tobago,"6,879","4,908",0,0%,2,122,87,0,0%,"38,390",612,"6,145","4,384","1,401,543"
Tunisia,"111,361","9,378",0,0%,280,"3,894",328,0,0%,"512,738","22,726","84,741","7,136","11,874,360"
Turkey,"1,836,728","21,673",0,0%,"5,973","16,417",194,0,0%,"21,079,716","216,531","1,603,780","18,924","84,748,019"
Uganda,"27,532",594,0,0%,NA,221,5,0,0%,"680,709","17,485","9,826",212,"46,379,453"
United Arab Emirates,"186,041","18,709","1,092",0.59%,NA,618,62,1,0.16%,"18,517,811","21,074","164,349","16,527","9,944,188"
Uruguay,"9,708","2,790",0,0%,38,92,26,0,0%,"510,031","3,258","6,358","1,827","3,479,188"
Uzbekistan,"75,094","2,229",138,0.18%,176,612,18,0,0%,"1,377,915","2,114","72,368","2,148","33,687,059"
Vanuatu,1,NA,0,0%,NA,NA,NA,0,0%,NA,NA,1,NA,"310,342"
Venezuela,"107,786","3,795",0,0%,46,954,34,0,0%,"2,347,543","4,543","102,289","3,602","28,399,225"
Vietnam,"1,397",14,0,0%,NA,35,NA,0,0%,"1,339,465",121,"1,241",13,"97,733,842"
Palestine,"111,102","21,555","1,364",1.24%,95,"1,000",194,22,2.25%,"778,959","23,045","87,057","16,890","5,154,248"
Yemen,"2,083",69,0,0%,23,606,20,0,0%,"17,404",94,"1,383",46,"30,118,960"
Zambia,"18,322",984,48,0.26%,NA,367,20,0,0%,"489,926",546,"17,409",935,"18,612,297"
Zimbabwe,"11,246",752,0,0%,NA,307,21,0,0%,"189,370","1,488","9,451",632,"14,960,094"
United States,"16,737,267","50,432",0,0%,"27,611","306,459",923,0,0%,"221,195,630","6,706,369","9,724,439","29,301","331,880,970"
India,"9,884,716","7,131",0,0%,"8,944","143,393",103,0,0%,"154,566,990","353,164","9,388,159","6,773","1,386,123,196"
Brazil,"6,901,990","32,367",0,0%,"8,318","181,419",851,0,0%,"25,700,000","737,618","5,982,953","28,057","213,242,430"
Russia,"2,681,256","18,369","27,328",1.03%,"2,300","47,391",325,450,0.96%,"83,100,000","509,068","2,124,797","14,557","145,962,904"
United Kingdom,"1,849,403","27,178",0,0%,"1,275","64,170",943,0,0%,"47,141,344",NA,NA,NA,"68,047,462"
Italy,"1,843,712","30,514",0,0%,"11,663","64,520","1,068",0,0%,"24,215,726","686,031","1,093,161","18,092","60,421,355"
Spain,"1,730,575","37,007",0,0%,"2,100","47,624","1,018",0,0%,"24,101,272","1,532,575","150,376","3,216","46,763,009"
Colombia,"1,425,774","27,887",0,0%,"2,376","39,053",764,0,0%,"7,069,223","71,885","1,314,836","25,717","51,127,304"
Germany,"1,338,483","15,952",0,0%,"4,552","22,406",267,0,0%,"30,494,036","348,177","967,900","11,536","83,905,438"
Mexico,"1,250,044","9,650","8,608",0.69%,"3,550","113,953",880,249,0.22%,"3,194,264","217,410","918,681","7,092","129,543,309"
Peru,"984,973","29,687",0,0%,"1,057","36,677","1,105",0,0%,"5,264,455","29,944","918,352","27,679","33,178,246"
Ukraine,"900,666","20,651","6,451",0.72%,177,"15,247",350,93,0.61%,"5,052,686","378,701","506,718","11,618","43,613,740"
Netherlands,"613,487","35,767",0,0%,500,"10,048",586,0,0%,"5,253,381",NA,NA,NA,"17,152,080"
Belgium,"608,137","52,369","2,171",0.36%,617,"17,951","1,546",49,0.27%,"6,336,972","548,525","41,661","3,588","11,612,476"
Chile,"571,919","29,803",0,0%,637,"15,886",828,0,0%,"5,775,305","11,211","544,822","28,391","19,190,284"
Canada,"464,430","12,257",0,0%,596,"13,450",355,0,0%,"12,559,324","72,340","378,640","9,993","37,891,529"
Pakistan,"440,787","1,978","2,362",0.54%,"2,456","8,832",40,36,0.41%,"6,064,220","47,236","384,719","1,727","222,810,091"
Sweden,"320,098","31,606",0,0%,258,"7,514",742,0,0%,"3,718,476",NA,NA,NA,"10,127,752"
Japan,"177,287","1,404",0,0%,583,"2,562",20,0,0%,"4,032,816","25,439","149,286","1,182","126,299,995"
Australia,"28,039","1,094",8,0.03%,1,908,35,0,0%,"10,400,623","1,447","25,684","1,002","25,633,109"
French Polynesia,"15,618",NA,0,0%,25,91,NA,0,0%,"26,355","10,685","4,842",NA,"281,643"
French Guiana,"11,800",NA,0,0%,NA,71,NA,0,0%,"89,832","1,734","9,995",NA,"302,122"
Guadeloupe,"8,472",NA,0,0%,7,151,NA,0,0%,"78,966","6,079","2,242",NA,"400,155"
Reunion,"8,431",NA,0,0%,8,41,NA,0,0%,"48,859",353,"8,037",NA,"898,200"
Martinique,"5,575",NA,0,0%,10,42,NA,0,0%,"67,378","5,435",98,NA,"375,133"
Mayotte,"5,551",NA,0,0%,4,52,NA,0,0%,"28,914","2,535","2,964",NA,"275,745"
Aruba,"5,049",NA,0,0%,4,46,NA,0,0%,"55,812",107,"4,896",NA,"106,971"
Curacao,"3,624",NA,0,0%,4,11,NA,0,0%,"28,526","1,877","1,736",NA,"164,397"
Channel Islands,"2,068",NA,0,0%,10,48,NA,0,0%,"199,491",729,"1,291",NA,"174,586"
Sint Maarten,"1,232",NA,0,0%,4,26,NA,0,0%,"8,306",131,"1,075",NA,"43,095"
Gibraltar,"1,075",NA,0,0%,1,5,NA,0,0%,"102,253",38,"1,032",NA,"33,686"
Saint Martin,801,NA,0,0%,7,12,NA,0,0%,"7,838",114,675,NA,"38,961"
Turks and Caicos Islands,769,NA,0,0%,1,6,NA,0,0%,"10,461",22,741,NA,"38,952"
Faroe Islands,528,NA,0,0%,NA,NA,NA,0,0%,"176,383",NA,506,NA,"48,947"
Bermuda,391,NA,0,0%,2,9,NA,0,0%,"117,415",149,233,NA,"62,173"
Isle of Man,370,NA,0,0%,NA,25,NA,0,0%,"19,325",1,344,NA,"85,237"
Cayman Islands,298,NA,0,0%,1,2,NA,0,0%,"55,584",29,267,NA,"66,069"
Caribbean Netherlands,175,NA,0,0%,NA,3,NA,0,0%,"3,966",7,165,NA,"26,333"
Saint Barthelemy,162,NA,0,0%,NA,1,NA,0,0%,"5,315",34,127,NA,"9,891"
British Virgin Islands,76,NA,0,0%,NA,1,NA,0,0%,"9,229",3,72,NA,"30,322"
New Caledonia,36,NA,0,0%,NA,NA,NA,0,0%,"18,253",NA,35,NA,"286,736"
Greenland,19,NA,0,0%,NA,NA,NA,0,0%,"13,742",NA,18,NA,"56,815"
Falkland Islands,17,NA,0,0%,NA,NA,NA,0,0%,"4,746",NA,17,NA,"3,525"
Saint Pierre and Miquelon,14,NA,0,0%,NA,NA,NA,0,0%,"2,946",NA,14,NA,"5,781"
Montserrat,13,NA,0,0%,NA,1,NA,0,0%,626,0,12,NA,"4,993"
Western Sahara,10,NA,0,0%,NA,1,NA,0,0%,NA,NA,8,NA,"603,874"
Anguilla,10,NA,0,0%,NA,NA,NA,0,0%,"2,651",NA,4,NA,"15,063"
Wallis and Futuna,3,NA,0,0%,NA,NA,NA,0,0%,"1,149",NA,1,NA,"11,148"
China,"86,741",60,16,0.02%,7,"4,634",3,0,0%,"160,000,000",313,"81,794",57,"1,439,323,776"
