Name,Confirmed,Confirmed Per Million,Confirmed Changes Today,Confirmed Percentage Day Change,Critical,Deceased,Deceased Per Million,Deceased Changes Today,Death Percentage Day Change,Tests,Active,Recovered,Recovered Per Million,Population
Denmark,"107,116","18,464",0,0%,54,935,161,0,0%,"8,483,883","27,945","78,236","13,486","5,801,394"
Djibouti,"5,725",NA,0,0%,NA,61,61,0,0%,"95,102",52,"5,612",NA,"994,413"
Dominica,87,NA,0,0%,NA,NA,NA,0,0%,"6,437",NA,81,NA,"72,067"
Dominican Republic,"153,585","14,095",0,0%,230,"2,360",217,0,0%,"784,626","31,609","119,616","10,977","10,896,664"
Ecuador,"201,524","11,345",0,0%,359,"13,874",781,0,0%,"688,032","13,462","174,188","9,806","17,762,573"
Egypt,"121,089","1,173",0,0%,67,"6,898",67,0,0%,"1,000,000","9,481","104,710","1,015","103,192,559"
El Salvador,"41,394","6,367",0,0%,78,"1,200",185,7,0.59%,"579,690","2,527","37,667","5,794","6,500,936"
Equatorial Guinea,"5,185","3,643",0,0%,NA,85,60,0,0%,"72,627",42,"5,058","3,554","1,423,205"
Eritrea,711,199,0,0%,NA,NA,NA,0,0%,"23,693",NA,564,158,"3,568,345"
Estonia,"18,055","13,607",344,1.94%,24,149,112,1,0.68%,"544,683","6,869","11,037","8,318","1,326,938"
Eswatini,"6,714","5,760",0,0%,11,127,109,0,0%,"63,144",256,"6,331","5,432","1,165,546"
Ethiopia,"116,297","1,001",0,0%,318,"1,803",16,0,0%,"1,701,522","22,045","92,449",795,"116,222,646"
Fiji,44,NA,0,0%,NA,2,2,0,0%,"17,576",7,35,NA,"899,363"
Finland,"30,810","5,557",360,1.18%,26,453,82,0,0%,"2,169,345","10,357","20,000","3,607","5,544,605"
France,"2,365,319","36,201",0,0%,"2,884","57,761",884,0,0%,"28,717,663","2,131,667","175,891","2,692","65,338,673"
Gabon,"9,330","4,149",0,0%,5,63,28,0,0%,"329,481",85,"9,182","4,083","2,248,980"
The Gambia,"3,779","1,545",0,0%,1,123,50,0,0%,"26,851",11,"3,645","1,490","2,446,590"
Georgia,"189,726","47,602","2,720",1.45%,NA,"1,790",449,46,2.64%,"1,686,522","29,753","158,183","39,688","3,985,701"
Ghana,"52,933","1,688",0,0%,15,327,10,0,0%,"620,148",930,"51,676","1,648","31,360,779"
Greece,"123,842","11,908",0,0%,577,"3,540",340,0,0%,"2,572,828","97,228","23,074","2,219","10,399,955"
Grenada,43,NA,0,0%,NA,NA,NA,0,0%,"6,252",NA,41,NA,"112,758"
Guatemala,"129,099","7,147",0,0%,5,"4,405",244,0,0%,"580,139","7,079","117,615","6,511","18,062,965"
Guinea,"13,420","1,010",0,0%,24,79,6,0,0%,"84,951",684,"12,657",952,"13,289,938"
Guinea-Bissau,"2,444","1,229",0,0%,5,44,22,0,0%,"33,033",63,"2,337","1,175","1,988,589"
Guyana,"5,879",NA,0,0%,6,154,NA,0,0%,"33,656",681,"5,044",NA,"788,261"
Haiti,"9,491",828,0,0%,NA,233,20,0,0%,"34,734","1,017","8,241",719,"11,464,707"
Vatican City,27,NA,0,0%,NA,NA,NA,0,0%,NA,NA,15,NA,802
Honduras,"114,043","11,433",335,0.29%,112,"2,974",298,3,0.1%,"284,003","59,659","51,410","5,154","9,974,838"
Hungary,"280,400","29,059","4,153",1.5%,606,"6,965",722,181,2.67%,"2,301,174","192,683","80,752","8,369","9,649,242"
Iceland,"5,557",NA,5,0.09%,3,28,NA,0,0%,"407,409",163,"5,366",NA,"342,239"
Indonesia,"617,820","2,248","6,189",1.01%,NA,"18,819",68,166,0.89%,"6,382,379","93,165","505,836","1,841","274,819,278"
Iran,"1,108,269","13,120","7,451",0.68%,"5,723","52,196",618,247,0.48%,"6,704,247","243,803","812,270","9,616","84,473,593"
Iraq,"573,622","14,121",0,0%,193,"12,565",309,0,0%,"3,867,170","55,388","505,669","12,448","40,622,450"
Ireland,"75,756","15,266",0,0%,32,"2,123",428,0,0%,"2,101,317","50,269","23,364","4,708","4,962,481"
Israel,"356,250","38,733",464,0.13%,347,"2,990",325,7,0.23%,"6,610,179","17,440","335,820","36,512","9,197,590"
Jamaica,"11,608","3,912",0,0%,7,271,91,0,0%,"124,240","3,538","7,799","2,629","2,966,988"
Jordan,"257,275","25,104",0,0%,340,"3,335",325,0,0%,"2,810,294","40,596","213,344","20,817","10,248,534"
Kazakhstan,"185,513","9,827",794,0.43%,221,"2,552",135,0,0%,"4,871,752","26,113","156,848","8,309","18,877,195"
Kenya,"91,526","1,686",0,0%,44,"1,586",29,0,0%,"967,317","17,344","72,596","1,337","54,296,347"
South Korea,"42,766",834,"1,030",2.47%,179,580,11,2,0.35%,"3,374,595","10,372","31,814",620,"51,289,113"
Kosovo,"46,118",NA,0,0%,NA,"1,186",NA,0,0%,NA,NA,"33,064",NA,NA
Kuwait,"146,218","34,014",174,0.12%,62,911,212,0,0%,"1,180,662","3,213","142,094","33,055","4,298,757"
Kyrgyzstan,"77,356","11,770",297,0.39%,94,"1,307",199,0,0%,"546,791","5,857","70,192","10,680","6,572,157"
Laos,41,6,0,0%,NA,NA,NA,0,0%,"83,753",NA,33,5,"7,322,688"
Latvia,"25,675","13,681",629,2.51%,37,349,186,25,7.72%,"728,736","23,460","1,866",994,"1,876,693"
Lebanon,"145,245","21,323",0,0%,380,"1,190",175,0,0%,"1,771,633","45,471","98,584","14,473","6,811,582"
Lesotho,"2,250","1,047",0,0%,NA,44,20,0,0%,"27,964",887,"1,319",614,"2,149,874"
Liberia,"1,676",328,0,0%,2,83,16,0,0%,"35,957",235,"1,358",266,"5,110,303"
Libya,"90,779","13,132",899,1%,NA,"1,299",188,21,1.64%,"483,652","28,585","60,895","8,809","6,913,036"
Liechtenstein,"1,482",NA,0,0%,21,20,NA,0,0%,"15,808",166,"1,296",NA,"38,177"
Lithuania,"93,101","34,419","2,849",3.16%,191,815,301,24,3.03%,"1,414,224","53,393","38,893","14,379","2,704,938"
Luxembourg,"41,272",NA,0,0%,47,396,NA,0,0%,"1,507,746","9,198","31,678",NA,"630,517"
Madagascar,"17,587",628,0,0%,16,259,9,0,0%,"96,565",336,"16,992",607,"28,005,483"
Malawi,"6,063",313,0,0%,4,186,10,0,0%,"78,863",386,"5,491",284,"19,348,287"
Malaysia,"83,475","2,564","1,229",1.49%,115,415,13,4,0.97%,"2,940,782","13,667","69,393","2,132","32,551,395"
Maldives,"13,348",NA,0,0%,12,48,NA,0,0%,"267,308",641,"12,659",NA,"544,782"
Mali,"5,721",279,0,0%,NA,189,9,0,0%,"113,248","1,966","3,566",174,"20,507,723"
Malta,"11,101",NA,0,0%,18,166,NA,0,0%,"461,770","1,856","9,079",NA,"442,073"
Marshall Islands,4,NA,0,0%,NA,NA,NA,0,0%,NA,NA,4,NA,"59,370"
Mauritania,"10,780","2,292",0,0%,37,222,47,0,0%,"110,096","2,536","8,022","1,705","4,703,616"
Mauritius,515,405,0,0%,NA,10,8,0,0%,"289,552",27,478,376,"1,272,721"
Moldova,"125,723","31,199",0,0%,288,"2,547",632,0,0%,"503,321","15,443","107,733","26,735","4,029,718"
Monaco,668,NA,0,0%,4,3,NA,0,0%,"51,953",69,596,NA,"39,367"
Mongolia,907,275,1,0.11%,6,NA,NA,0,0%,"420,000",NA,384,116,"3,301,822"
Montenegro,"40,948",NA,0,0%,68,578,NA,0,0%,"152,817","10,756","29,614",NA,"628,102"
Morocco,"397,597","10,715",0,0%,"1,013","6,589",178,0,0%,"4,179,619","37,910","353,098","9,516","37,106,321"
Mozambique,"16,812",531,0,0%,NA,140,4,0,0%,"247,448","1,877","14,795",468,"31,641,393"
Namibia,"16,269","6,352",0,0%,15,160,62,0,0%,"174,200","1,527","14,582","5,693","2,561,378"
Nepal,"248,423","8,458",830,0.34%,NA,"1,698",58,9,0.53%,"1,831,041","10,994","235,731","8,026","29,369,998"
New Zealand,"2,096",419,4,0.19%,NA,25,5,0,0%,"1,341,978",56,"2,015",403,"5,002,100"
Nicaragua,"5,887",884,0,0%,NA,162,24,0,0%,NA,NA,"4,225",634,"6,659,819"
Niger,"2,199",89,0,0%,9,80,3,0,0%,"50,488",843,"1,276",52,"24,589,750"
Nigeria,"72,757",349,0,0%,10,"1,194",6,0,0%,"833,755","5,713","65,850",316,"208,398,523"
North Macedonia,"73,025","35,052",0,0%,138,"2,096","1,006",0,0%,"363,021","22,203","48,726","23,388","2,083,335"
Norway,"40,803","7,500",0,0%,31,387,71,0,0%,"2,421,445","5,953","34,463","6,335","5,440,276"
Oman,"126,240","24,446",571,0.45%,57,"1,471",285,8,0.55%,"571,472","6,721","118,048","22,860","5,164,012"
Panama,"190,585","43,863",0,0%,183,"3,331",767,0,0%,"1,051,067","26,613","160,641","36,971","4,345,053"
Papua New Guinea,720,80,0,0%,NA,8,1,0,0%,"32,221",111,601,67,"9,022,371"
Paraguay,"92,913","12,955",0,0%,147,"1,937",270,0,0%,"496,890","25,124","65,852","9,182","7,171,726"
Philippines,"449,400","4,077","1,085",0.24%,"1,401","8,733",79,3,0.03%,"6,195,558","21,980","418,687","3,798","110,232,847"
Poland,"1,135,676","30,022","8,977",0.8%,"1,784","22,864",604,188,0.83%,"6,675,849","253,917","858,895","22,705","37,827,861"
Portugal,"344,700","33,850",0,0%,503,"5,461",536,0,0%,"4,939,014","70,786","268,453","26,362","10,183,241"
Qatar,"140,961","50,203",134,0.1%,24,240,85,0,0%,"1,167,017","2,231","138,490","49,323","2,807,805"
Romania,"556,335","29,007","4,435",0.8%,"1,289","13,385",698,121,0.91%,"4,428,071","85,590","457,360","23,846","19,179,387"
Rwanda,"6,528",499,0,0%,NA,56,4,0,0%,"665,450",580,"5,892",450,"13,094,172"
Saint Kitts and Nevis,27,NA,0,0%,NA,NA,NA,0,0%,"4,376",NA,23,NA,"53,368"
Saint Lucia,274,NA,0,0%,NA,4,NA,0,0%,"17,571",73,197,NA,"184,005"
Saint Vincent and the Grenadines,94,NA,0,0%,NA,NA,NA,0,0%,"11,720",NA,81,NA,"111,099"
Samoa,2,NA,0,0%,NA,NA,NA,0,0%,NA,NA,2,NA,"199,007"
San Marino,"1,932",NA,0,0%,5,51,NA,0,0%,"21,402",306,"1,575",NA,"33,963"
SÃ£o TomÃ© and PrÃ­ncipe,"1,009",NA,0,0%,NA,17,NA,0,0%,"7,498",45,947,NA,"220,969"
Saudi Arabia,"359,749","10,262",0,0%,517,"6,036",172,0,0%,"10,349,590","3,366","350,347","9,994","35,055,661"
Senegal,"17,075","1,008",78,0.46%,17,349,21,0,0%,"245,025",632,"16,094",950,"16,938,719"
Serbia,"261,437","29,976",0,0%,318,"2,275",261,0,0%,"2,016,984","227,626","31,536","3,616","8,721,414"
Seychelles,187,NA,0,0%,NA,NA,NA,0,0%,"5,200",NA,182,NA,"98,621"
Sierra Leone,"2,440",303,0,0%,NA,75,9,0,0%,NA,NA,"1,850",230,"8,049,008"
Singapore,"58,320","9,934",7,0.01%,NA,29,5,0,0%,"4,834,370",94,"58,197","9,913","5,871,002"
Slovakia,"132,984","24,352","2,190",1.67%,282,"1,175",215,27,2.35%,"1,216,063","34,741","97,068","17,775","5,460,837"
Slovenia,"96,311","46,324",830,0.87%,200,"2,063",992,22,1.08%,"592,436","20,871","73,377","35,293","2,079,067"
Solomon Islands,17,NA,0,0%,NA,NA,NA,0,0%,"4,500",NA,5,NA,"694,333"
Somalia,"4,579",285,0,0%,NA,121,8,0,0%,NA,NA,"3,529",219,"16,088,679"
South Africa,"852,965","14,301",0,0%,546,"23,106",387,0,0%,"5,819,755","69,741","760,118","12,744","59,643,060"
South Sudan,"3,206",285,0,0%,1,62,6,0,0%,"63,753",101,"3,043",270,"11,252,454"
Sri Lanka,"32,135","1,498",0,0%,NA,149,7,0,0%,"1,004,203","8,682","23,304","1,086","21,453,689"
Sudan,"21,147",477,0,0%,NA,"1,344",30,0,0%,NA,NA,"12,227",276,"44,302,539"
Suriname,"5,340",NA,0,0%,2,117,NA,0,0%,"22,629",2,"5,221",NA,"588,990"
Switzerland,"373,831","43,053",0,0%,454,"5,976",688,0,0%,"3,019,837","76,355","291,500","33,571","8,683,055"
Syria,"9,041",511,0,0%,NA,506,29,0,0%,NA,NA,"4,319",244,"17,688,711"
Taiwan,736,31,3,0.41%,NA,7,NA,0,0%,"115,167",123,606,25,"23,836,229"
Tajikistan,"12,624","1,311",0,0%,NA,89,9,0,0%,NA,NA,"12,050","1,251","9,632,569"
Tanzania,509,8,0,0%,7,21,NA,0,0%,NA,NA,183,3,"60,483,797"
Thailand,"4,209",60,17,0.41%,1,60,1,0,0%,"977,854",226,"3,923",56,"69,878,976"
Timor-Leste,31,23,0,0%,NA,NA,NA,0,0%,"14,932",NA,30,23,"1,329,608"
Togo,"3,221",385,0,0%,NA,66,8,0,0%,"160,114",410,"2,745",328,"8,364,621"
Trinidad and Tobago,"6,864","4,898",0,0%,2,122,87,0,0%,"38,315",616,"6,126","4,371","1,401,531"
Tunisia,"110,393","9,297",0,0%,276,"3,836",323,0,0%,"508,861","22,339","84,218","7,093","11,874,022"
Turkey,"1,809,809","21,356",0,0%,"5,961","16,199",191,0,0%,"20,898,517","212,045","1,581,565","18,663","84,745,541"
Uganda,"27,071",584,0,0%,NA,220,5,0,0%,"676,531","17,107","9,744",210,"46,375,487"
United Arab Emirates,"183,755","18,479",0,0%,NA,609,61,0,0%,"18,275,468","20,098","163,048","16,397","9,943,861"
Uruguay,"9,180","2,639",0,0%,40,91,26,0,0%,"503,373","2,934","6,155","1,769","3,479,156"
Uzbekistan,"74,956","2,225",145,0.19%,177,612,18,0,0%,"1,377,915","2,101","72,243","2,145","33,685,734"
Vanuatu,1,NA,0,0%,NA,NA,NA,0,0%,NA,NA,1,NA,"310,323"
Venezuela,"107,177","3,774",0,0%,46,949,33,0,0%,"2,347,543","3,939","102,289","3,602","28,399,444"
Vietnam,"1,397",14,2,0.14%,NA,35,NA,0,0%,"1,339,465",121,"1,241",13,"97,731,452"
Palestine,"109,738","21,292","1,639",1.52%,93,978,190,17,1.77%,"772,485","23,650","85,110","16,514","5,153,923"
Yemen,"2,083",69,0,0%,23,606,20,0,0%,"17,404",94,"1,383",46,"30,117,161"
Zambia,"18,217",979,0,0%,NA,366,20,0,0%,"477,174",512,"17,339",932,"18,610,884"
Zimbabwe,"11,219",750,0,0%,NA,307,21,0,0%,"189,370","1,553","9,359",626,"14,959,503"
United States,"16,549,366","49,866",0,0%,"27,523","305,082",919,0,0%,"219,505,072","6,599,959","9,644,325","29,060","331,875,677"
India,"9,859,615","7,113","2,235",0.02%,"8,944","143,065",103,10,0.01%,"153,711,833","359,037","9,357,513","6,751","1,386,086,156"
Brazil,"6,880,595","32,267",0,0%,"8,318","181,143",849,0,0%,"25,700,000","729,746","5,969,706","27,995","213,238,308"
Russia,"2,653,928","18,182","28,080",1.07%,"2,300","46,941",322,488,1.05%,"82,600,000","500,752","2,106,235","14,430","145,962,734"
United Kingdom,"1,830,956","26,907",0,0%,"1,275","64,026",941,0,0%,"47,141,344",NA,NA,NA,"68,046,489"
Italy,"1,825,775","30,217",0,0%,"11,663","64,036","1,060",0,0%,"24,063,029","684,848","1,076,891","17,823","60,421,597"
Spain,"1,730,575","37,007",0,0%,"2,100","47,624","1,018",0,0%,"24,101,272","1,532,575","150,376","3,216","46,762,960"
Colombia,"1,417,072","27,717",0,0%,"2,376","38,866",760,0,0%,"7,029,070","67,781","1,310,425","25,631","51,125,823"
Germany,"1,320,592","15,739",0,0%,"4,491","22,171",264,0,0%,"30,494,036","340,921","957,500","11,412","83,904,708"
Mexico,"1,241,436","9,583","12,057",0.98%,"3,550","113,704",878,685,0.61%,"3,182,316","215,767","911,965","7,040","129,539,611"
Peru,"983,045","29,630",0,0%,"1,039","36,609","1,103",0,0%,"5,248,832","30,101","916,335","27,620","33,176,991"
Ukraine,"894,215","20,503","9,176",1.04%,177,"15,154",347,156,1.04%,"4,957,299","377,497","501,564","11,500","43,614,454"
Belgium,"605,966","52,183","2,807",0.47%,627,"17,902","1,542",110,0.62%,"6,309,354","546,475","41,589","3,581","11,612,338"
Netherlands,"603,603","35,191",0,0%,496,"10,019",584,0,0%,"5,077,285",NA,NA,NA,"17,151,977"
Chile,"569,781","29,692",0,0%,651,"15,846",826,0,0%,"5,727,305","10,852","543,083","28,301","19,189,836"
Canada,"458,514","12,101",0,0%,596,"13,366",353,0,0%,"12,485,963","71,263","373,885","9,867","37,890,626"
Pakistan,"438,425","1,968","3,369",0.77%,"2,471","8,796",39,72,0.83%,"6,032,390","46,629","383,000","1,719","222,798,353"
Sweden,"320,098","31,607",0,0%,258,"7,514",742,0,0%,"3,718,476",NA,NA,NA,"10,127,581"
Japan,"174,299","1,380",0,0%,578,"2,534",20,0,0%,"4,001,554","24,241","147,524","1,168","126,301,048"
Australia,"28,030","1,094",5,0.02%,NA,908,35,0,0%,"10,379,581","1,447","25,675","1,002","25,632,301"
French Polynesia,"15,618",NA,0,0%,25,91,NA,0,0%,"26,355","10,685","4,842",NA,"281,638"
French Guiana,"11,800",NA,0,0%,NA,71,NA,0,0%,"89,832","1,734","9,995",NA,"302,101"
Guadeloupe,"8,472",NA,0,0%,7,151,NA,0,0%,"78,966","6,079","2,242",NA,"400,155"
Reunion,"8,431",NA,0,0%,8,41,NA,0,0%,"48,859",353,"8,037",NA,"898,183"
Martinique,"5,575",NA,0,0%,10,42,NA,0,0%,"67,378","5,435",98,NA,"375,133"
Mayotte,"5,551",NA,0,0%,4,52,NA,0,0%,"28,914","2,535","2,964",NA,"275,727"
Aruba,"5,044",NA,0,0%,4,46,NA,0,0%,"55,294",108,"4,890",NA,"106,970"
Curacao,"3,576",NA,0,0%,4,10,NA,0,0%,"28,250","1,858","1,708",NA,"164,395"
Channel Islands,"1,977",NA,0,0%,10,48,NA,0,0%,"199,491",841,"1,088",NA,"174,582"
Sint Maarten,"1,232",NA,7,0.57%,4,26,NA,0,0%,"8,306",131,"1,075",NA,"43,094"
Gibraltar,"1,075",NA,3,0.28%,1,5,NA,0,0%,"102,253",38,"1,032",NA,"33,686"
Saint Martin,801,NA,0,0%,7,12,NA,0,0%,"7,838",114,675,NA,"38,960"
Turks and Caicos Islands,769,NA,0,0%,1,6,NA,0,0%,"10,461",22,741,NA,"38,951"
Faroe Islands,525,NA,0,0%,NA,NA,NA,0,0%,"175,642",NA,506,NA,"48,947"
Bermuda,391,NA,0,0%,2,9,NA,0,0%,"117,415",149,233,NA,"62,174"
Isle of Man,370,NA,0,0%,NA,25,NA,0,0%,"19,325",1,344,NA,"85,235"
Cayman Islands,298,NA,0,0%,1,2,NA,0,0%,"55,584",29,267,NA,"66,067"
Caribbean Netherlands,175,NA,0,0%,NA,3,NA,0,0%,"3,966",7,165,NA,"26,332"
Saint Barthelemy,162,NA,0,0%,NA,1,NA,0,0%,"5,315",34,127,NA,"9,891"
British Virgin Islands,76,NA,0,0%,NA,1,NA,0,0%,"9,229",3,72,NA,"30,321"
New Caledonia,36,NA,0,0%,NA,NA,NA,0,0%,"18,012",NA,32,NA,"286,729"
Greenland,19,NA,0,0%,NA,NA,NA,0,0%,"13,742",NA,18,NA,"56,814"
Falkland Islands,17,NA,0,0%,NA,NA,NA,0,0%,"4,746",NA,17,NA,"3,525"
Saint Pierre and Miquelon,14,NA,0,0%,NA,NA,NA,0,0%,"2,946",NA,14,NA,"5,781"
Montserrat,13,NA,0,0%,NA,1,NA,0,0%,626,0,12,NA,"4,993"
Western Sahara,10,NA,0,0%,NA,1,NA,0,0%,NA,NA,8,NA,"603,834"
Anguilla,10,NA,0,0%,NA,NA,NA,0,0%,"2,651",NA,3,NA,"15,063"
Wallis and Futuna,3,NA,0,0%,NA,NA,NA,0,0%,"1,149",NA,1,NA,"11,149"
China,"86,725",60,24,0.03%,6,"4,634",3,0,0%,"160,000,000",306,"81,785",57,"1,439,323,776"
