Name,Confirmed,Confirmed Per Million,Confirmed Changes Today,Confirmed Percentage Day Change,Critical,Deceased,Deceased Per Million,Deceased Changes Today,Death Percentage Day Change,Tests,Active,Recovered,Recovered Per Million,Population
Gabon,"9,278","4,126",0,0%,6,60,27,0,0%,"315,464",86,"9,132","4,062","2,248,405"
The Gambia,"3,776","1,544",0,0%,1,123,50,0,0%,"26,604",22,"3,631","1,485","2,445,845"
Georgia,"174,383","43,751","4,734",2.79%,NA,"1,614",405,38,2.41%,"1,627,020","27,482","145,287","36,451","3,985,784"
Ghana,"52,622","1,678",122,0.23%,19,326,10,0,0%,"613,831",872,"51,424","1,640","31,353,676"
Greece,"118,045","11,350",0,0%,579,"3,194",307,0,0%,"2,504,704","91,777","23,074","2,219","10,400,509"
Grenada,43,NA,0,0%,NA,NA,NA,0,0%,"6,252",NA,41,NA,"112,752"
Guatemala,"126,473","7,003",0,0%,5,"4,286",237,0,0%,"562,000","6,781","115,406","6,390","18,059,338"
Guinea,"13,283","1,000",19,0.14%,24,79,6,0,0%,"82,528",689,"12,515",942,"13,286,031"
Guinea-Bissau,"2,444","1,229",0,0%,5,44,22,0,0%,"33,033",63,"2,337","1,176","1,988,079"
Guyana,"5,700",NA,0,0%,4,154,NA,0,0%,"32,397",676,"4,870",NA,"788,219"
Haiti,"9,399",820,0,0%,NA,233,20,0,0%,"34,734","1,018","8,148",711,"11,463,188"
Vatican City,27,NA,0,0%,NA,NA,NA,0,0%,NA,NA,15,NA,802
Honduras,"112,175","11,248",468,0.42%,121,"2,952",296,2,0.07%,"277,350","58,879","50,344","5,048","9,973,115"
Hungary,"259,588","26,902","3,221",1.26%,661,"6,280",651,160,2.61%,"2,187,555","177,038","76,270","7,904","9,649,509"
Iceland,"5,516",NA,10,0.18%,3,28,NA,0,0%,"402,484",186,"5,302",NA,"342,214"
Indonesia,"592,900","2,158","6,058",1.03%,NA,"18,171",66,171,0.95%,"6,168,268","87,284","487,445","1,774","274,787,687"
Iran,"1,072,620","12,699","10,223",0.96%,"5,779","51,212",606,295,0.58%,"6,523,409","255,769","765,639","9,065","84,461,844"
Iraq,"569,873","14,032","1,735",0.31%,212,"12,501",308,24,0.19%,"3,769,232","57,526","499,846","12,308","40,612,561"
Ireland,"74,682","15,051",0,0%,38,"2,097",423,0,0%,"2,051,136","49,221","23,364","4,709","4,961,879"
Israel,"349,024","37,947",739,0.21%,321,"2,933",319,1,0.03%,"5,605,071","14,806","331,285","36,019","9,197,590"
Jamaica,"11,271","3,799",0,0%,11,265,89,0,0%,"121,072","3,714","7,292","2,458","2,966,847"
Jordan,"247,131","24,116",0,0%,403,"3,162",309,0,0%,"2,731,879","46,911","197,058","19,230","10,247,428"
Kazakhstan,"181,721","9,628",729,0.4%,221,"2,544",135,0,0%,"4,795,216","25,745","153,432","8,129","18,874,741"
Kenya,"89,100","1,641",0,0%,71,"1,545",28,0,0%,"938,936","17,716","69,839","1,287","54,283,372"
South Korea,"39,432",769,686,1.77%,149,556,11,4,0.72%,"3,253,236","8,699","30,177",588,"51,288,632"
Kosovo,"43,881",NA,0,0%,NA,"1,137",NA,0,0%,NA,NA,"30,157",NA,NA
Kuwait,"144,900","33,713",0,0%,83,900,209,0,0%,"1,152,203","3,362","140,638","32,721","4,298,066"
Kyrgyzstan,"76,012","11,568",322,0.43%,106,"1,303",198,2,0.15%,"533,736","6,342","68,367","10,404","6,570,980"
Laos,41,6,0,0%,NA,NA,NA,0,0%,"83,345",NA,28,4,"7,321,534"
Latvia,"22,816","12,156",712,3.22%,42,293,156,5,1.74%,"694,411","20,657","1,866",994,"1,876,919"
Lebanon,"139,135","20,425",0,0%,385,"1,136",167,0,0%,"1,713,694","44,899","93,100","13,667","6,811,914"
Lesotho,"2,164","1,007",14,0.65%,NA,44,20,0,0%,"27,017",837,"1,283",597,"2,149,689"
Liberia,"1,676",328,0,0%,2,83,16,0,0%,"35,957",235,"1,358",266,"5,109,001"
Libya,"88,522","12,807",536,0.61%,NA,"1,261",182,6,0.48%,"470,005","28,683","58,578","8,475","6,912,015"
Liechtenstein,"1,432",NA,28,1.99%,20,19,NA,0,0%,"15,735",143,"1,270",NA,"38,176"
Lithuania,"80,556","29,777","3,128",4.04%,161,704,260,31,4.61%,"1,357,723","46,144","33,708","12,460","2,705,350"
Luxembourg,"38,864",NA,0,0%,43,369,NA,0,0%,"1,446,528","8,703","29,792",NA,"630,405"
Madagascar,"17,473",624,0,0%,16,255,9,0,0%,"95,472",291,"16,927",605,"27,997,677"
Malawi,"6,051",313,0,0%,4,186,10,0,0%,"76,759",383,"5,482",283,"19,342,867"
Malaysia,"76,265","2,343",959,1.27%,127,393,12,5,1.29%,"2,851,220","10,748","65,124","2,001","32,546,863"
Maldives,"13,248",NA,0,0%,12,47,NA,0,0%,"251,156",712,"12,489",NA,"544,678"
Mali,"5,442",265,0,0%,NA,180,9,0,0%,"108,259","1,846","3,416",167,"20,501,322"
Malta,"10,778",NA,79,0.74%,18,160,NA,3,1.91%,"453,271","1,898","8,720",NA,"442,060"
Marshall Islands,4,NA,0,0%,NA,NA,NA,0,0%,NA,NA,4,NA,"59,365"
Mauritania,"9,876","2,100",0,0%,30,197,42,0,0%,"106,996","1,775","7,904","1,681","4,702,276"
Mauritius,515,405,0,0%,NA,10,8,0,0%,"289,552",27,478,376,"1,272,698"
Moldova,"119,204","29,580",0,0%,288,"2,460",610,0,0%,"488,184","14,179","102,565","25,452","4,029,820"
Monaco,648,NA,0,0%,4,3,NA,0,0%,"51,953",65,580,NA,"39,364"
Mongolia,893,271,5,0.56%,6,NA,NA,0,0%,"345,381",NA,384,116,"3,301,245"
Montenegro,"39,153",NA,0,0%,68,549,NA,0,0%,"146,586","10,552","28,052",NA,"628,101"
Morocco,"384,088","10,352",0,0%,961,"6,370",172,0,0%,"4,103,482","39,999","337,719","9,103","37,101,541"
Mozambique,"16,373",518,0,0%,NA,136,4,0,0%,"239,810","1,800","14,437",456,"31,631,785"
Namibia,"15,298","5,974",0,0%,9,153,60,0,0%,"167,361","1,141","14,004","5,468","2,560,875"
Nepal,"244,433","8,324","1,056",0.43%,NA,"1,651",56,14,0.86%,"1,805,972","12,245","230,537","7,851","29,364,264"
New Zealand,"2,088",417,3,0.14%,NA,25,5,0,0%,"1,321,598",55,"2,008",401,"5,002,100"
Nicaragua,"5,887",884,0,0%,NA,162,24,0,0%,NA,NA,"4,225",634,"6,658,958"
Niger,"1,987",81,0,0%,9,79,3,0,0%,"47,907",669,"1,239",50,"24,580,115"
Nigeria,"70,195",337,0,0%,10,"1,182",6,0,0%,"817,913","3,903","65,110",313,"208,342,516"
North Macedonia,"69,452","33,337",0,0%,138,"1,977",949,0,0%,"352,735","21,854","45,621","21,898","2,083,336"
Norway,"39,163","7,199",0,0%,34,361,66,0,0%,"2,400,288","4,339","34,463","6,335","5,439,813"
Oman,"125,490","24,308",165,0.13%,71,"1,461",283,7,0.48%,"571,472","6,995","117,034","22,670","5,162,588"
Panama,"181,166","41,702",0,0%,169,"3,241",746,0,0%,"999,313","22,055","155,870","35,879","4,344,310"
Papua New Guinea,684,76,0,0%,NA,7,1,0,0%,"32,221",76,601,67,"9,020,516"
Paraguay,"89,421","12,470",0,0%,145,"1,887",263,0,0%,"481,180","24,291","63,243","8,820","7,170,769"
Philippines,"444,164","4,030","1,387",0.31%,"1,401","8,677",79,7,0.08%,"6,082,553","26,545","408,942","3,710","110,216,905"
Poland,"1,088,346","28,771","12,168",1.13%,"1,800","21,160",559,568,2.76%,"6,547,891","298,945","768,241","20,309","37,828,312"
Portugal,"327,976","32,206",0,0%,499,"5,122",503,0,0%,"4,805,677","70,426","252,428","24,788","10,183,564"
Qatar,"140,353","49,987",150,0.11%,27,240,85,1,0.42%,"1,149,684","2,232","137,881","49,106","2,807,805"
Romania,"532,040","27,738","7,365",1.4%,"1,271","12,821",668,161,1.27%,"4,325,130","93,403","425,816","22,200","19,180,782"
Rwanda,"6,237",476,0,0%,NA,51,4,0,0%,"650,668",471,"5,715",437,"13,090,653"
Saint Kitts and Nevis,25,NA,0,0%,NA,NA,NA,0,0%,"4,325",NA,21,NA,"53,364"
Saint Lucia,270,NA,0,0%,NA,2,NA,0,0%,"16,900",99,169,NA,"183,996"
Saint Vincent and the Grenadines,90,NA,3,3.45%,NA,NA,NA,0,0%,"11,341",NA,80,NA,"111,095"
Samoa,2,NA,0,0%,NA,NA,NA,0,0%,NA,NA,2,NA,"198,992"
San Marino,"1,834",NA,34,1.89%,7,49,NA,1,2.08%,"19,775",293,"1,492",NA,"33,962"
SÃ£o TomÃ© and PrÃ­ncipe,"1,005",NA,0,0%,NA,17,NA,0,0%,"7,498",44,944,NA,"220,924"
Saudi Arabia,"359,274","10,250",159,0.04%,550,"6,002",171,13,0.22%,"9,990,424","3,648","349,624","9,975","35,049,731"
Senegal,"16,665",984,69,0.42%,10,341,20,1,0.29%,"239,789",420,"15,904",939,"16,933,881"
Serbia,"241,831","27,727","7,804",3.33%,319,"2,116",243,54,2.62%,"1,958,473","208,179","31,536","3,616","8,721,797"
Seychelles,184,NA,0,0%,NA,NA,NA,0,0%,"5,200",NA,168,NA,"98,614"
Sierra Leone,"2,428",302,0,0%,NA,74,9,0,0%,NA,NA,"1,847",230,"8,047,232"
Singapore,"58,291","9,929",6,0.01%,NA,29,5,0,0%,"4,834,370",86,"58,176","9,910","5,870,500"
Slovakia,"121,796","22,304","2,564",2.15%,270,"1,084",199,38,3.63%,"1,162,048","30,943","89,769","16,439","5,460,808"
Slovenia,"90,075","43,325","2,139",2.43%,198,"1,900",914,38,2.04%,"570,798","20,738","67,437","32,436","2,079,064"
Solomon Islands,17,NA,0,0%,NA,NA,NA,0,0%,"4,500",NA,5,NA,"694,149"
Somalia,"4,579",285,0,0%,NA,121,8,0,0%,NA,NA,"3,529",219,"16,083,815"
South Africa,"821,889","13,782",0,0%,546,"22,432",376,0,0%,"5,640,042","46,385","753,072","12,628","59,634,888"
South Sudan,"3,181",283,0,0%,1,62,6,0,0%,"62,494",116,"3,003",267,"11,251,021"
Sri Lanka,"29,737","1,386",359,1.22%,NA,142,7,0,0%,"941,468","7,795","21,800","1,016","21,452,710"
Sudan,"20,084",453,337,1.71%,NA,"1,307",30,6,0.46%,NA,NA,"11,344",256,"44,291,320"
Suriname,"5,326",NA,0,0%,2,117,NA,0,0%,"22,311",NA,"5,217",NA,"588,933"
Switzerland,"363,654","41,884","5,086",1.42%,463,"5,663",652,70,1.25%,"2,952,909","74,991","283,000","32,595","8,682,364"
Syria,"8,580",485,0,0%,NA,458,26,0,0%,NA,NA,"4,059",230,"17,684,051"
Taiwan,720,30,2,0.28%,NA,7,NA,0,0%,"112,939",131,582,24,"23,835,759"
Tajikistan,"12,511","1,299",0,0%,NA,88,9,0,0%,NA,NA,"11,926","1,238","9,630,222"
Tanzania,509,8,0,0%,7,21,NA,0,0%,NA,NA,183,3,"60,465,128"
Thailand,"4,151",59,25,0.61%,1,60,1,0,0%,"977,854",211,"3,880",56,"69,877,067"
Timor-Leste,31,23,0,0%,NA,NA,NA,0,0%,"14,932",NA,30,23,"1,329,333"
Togo,"3,132",375,0,0%,NA,65,8,0,0%,"156,333",376,"2,691",322,"8,362,495"
Trinidad and Tobago,"6,782","4,839",0,0%,2,122,87,0,0%,"37,716",664,"5,996","4,278","1,401,481"
Tunisia,"105,445","8,881",0,0%,277,"3,668",309,0,0%,"490,874","21,695","80,082","6,745","11,872,672"
Turkey,"893,630","10,546",0,0%,"5,882","15,314",181,0,0%,"20,089,966","436,801","441,515","5,211","84,735,628"
Uganda,"23,860",515,660,2.84%,NA,207,4,0,0%,"652,535","14,143","9,510",205,"46,359,623"
United Arab Emirates,"180,150","18,119","1,313",0.73%,NA,598,60,2,0.34%,"17,799,178","18,468","161,084","16,201","9,942,556"
Uruguay,"7,806","2,244",0,0%,26,86,25,0,0%,"477,921","2,305","5,415","1,556","3,479,024"
Uzbekistan,"74,352","2,208",146,0.2%,179,611,18,0,0%,"1,377,915","2,132","71,609","2,126","33,680,430"
Vanuatu,1,NA,0,0%,NA,NA,NA,0,0%,NA,NA,1,NA,"310,244"
Venezuela,"105,384","3,711",0,0%,117,928,33,0,0%,"2,331,439","3,980","100,476","3,538","28,400,321"
Vietnam,"1,381",14,4,0.29%,NA,35,NA,0,0%,"1,339,465",121,"1,225",13,"97,721,890"
Palestine,"102,992","19,988","1,883",1.86%,85,890,173,23,2.65%,"748,008","25,209","76,893","14,923","5,152,623"
Yemen,"2,078",69,0,0%,23,606,20,0,0%,"17,404",90,"1,382",46,"30,109,966"
Zambia,"17,963",965,0,0%,NA,364,20,0,0%,"455,495",331,"17,268",928,"18,605,236"
Zimbabwe,"10,912",730,0,0%,NA,303,20,0,0%,"187,667","1,547","9,062",606,"14,957,137"
United States,"15,594,939","46,993","1,593",0.01%,"26,860","293,503",884,58,0.02%,"211,198,946","6,212,958","9,088,478","27,387","331,854,504"
India,"9,742,287","7,029","6,312",0.06%,"8,944","141,484",102,86,0.06%,"149,836,767","377,163","9,223,640","6,655","1,385,937,994"
Brazil,"6,675,915","31,310",0,0%,"8,318","178,184",836,0,0%,"25,700,000","643,022","5,854,709","27,458","213,221,820"
Russia,"2,541,199","17,410","26,190",1.04%,"2,300","44,718",306,559,1.27%,"80,522,238","488,689","2,007,792","13,756","145,962,052"
Italy,"1,757,394","29,085",0,0%,"3,517","61,240","1,014",0,0%,"23,386,113","737,525","958,629","15,865","60,422,565"
United Kingdom,"1,750,241","25,723",0,0%,"1,271","62,033",912,0,0%,"46,047,237",NA,NA,NA,"68,042,600"
Spain,"1,702,328","36,403",0,0%,"2,371","46,646",998,0,0%,"24,101,272","1,505,306","150,376","3,216","46,762,763"
Colombia,"1,384,610","27,086",0,0%,"2,376","38,158",746,0,0%,"6,814,795","68,126","1,278,326","25,006","51,119,899"
Germany,"1,222,862","14,575","4,537",0.37%,"4,257","20,259",241,98,0.49%,"29,141,172","300,503","902,100","10,752","83,901,788"
Mexico,"1,193,255","9,213","11,006",0.93%,"3,279","110,874",856,800,0.73%,"3,053,713","201,331","881,050","6,802","129,524,815"
Peru,"976,621","29,441",0,0%,"1,010","36,401","1,097",0,0%,"5,195,499","29,107","911,113","27,466","33,171,970"
Ukraine,"845,343","19,381","12,585",1.51%,177,"14,204",326,276,1.98%,"4,838,979","380,021","451,118","10,343","43,617,310"
Belgium,"594,572","51,204","1,957",0.33%,676,"17,507","1,508",121,0.7%,"6,145,774","536,807","40,258","3,467","11,611,788"
Netherlands,"576,965","33,639","6,528",1.14%,476,"9,841",574,66,0.68%,"5,077,285",NA,NA,NA,"17,151,563"
Chile,"563,534","29,369",0,0%,655,"15,680",817,0,0%,"5,604,702","10,127","537,727","28,024","19,188,045"
Canada,"432,730","11,422",0,0%,530,"12,886",340,0,0%,"12,147,827","70,228","349,616","9,228","37,887,014"
Pakistan,"426,142","1,913","2,963",0.7%,"2,498","8,547",38,60,0.71%,"5,865,944","45,324","372,271","1,671","222,751,400"
Sweden,"304,793","30,097",0,0%,252,"7,296",720,19,0.26%,"3,457,247",NA,NA,NA,"10,126,894"
Japan,"163,929","1,298",0,0%,536,"2,382",19,0,0%,"3,800,689","22,553","138,994","1,100","126,305,261"
Australia,"27,993","1,092",6,0.02%,32,908,35,0,0%,"10,265,843","1,428","25,657","1,001","25,629,069"
French Polynesia,"15,332",NA,0,0%,25,86,NA,0,0%,"26,355","10,404","4,842",NA,"281,621"
French Guiana,"11,513",NA,0,0%,NA,71,NA,0,0%,"86,348","1,447","9,995",NA,"302,016"
Guadeloupe,"8,472",NA,0,0%,7,151,NA,0,0%,"78,966","6,079","2,242",NA,"400,154"
Reunion,"8,294",NA,0,0%,8,41,NA,0,0%,"48,859",524,"7,729",NA,"898,113"
Martinique,"5,520",NA,0,0%,9,41,NA,0,0%,"65,748","5,381",98,NA,"375,137"
Mayotte,"5,181",NA,0,0%,4,49,NA,0,0%,"25,231","2,168","2,964",NA,"275,655"
Aruba,"4,984",NA,0,0%,4,45,NA,0,0%,"53,643",112,"4,827",NA,"106,965"
Curacao,"3,246",NA,0,0%,17,8,NA,0,0%,"26,109","1,852","1,386",NA,"164,388"
Channel Islands,"1,748",NA,0,0%,10,48,NA,0,0%,"199,491",612,"1,088",NA,"174,564"
Sint Maarten,"1,161",NA,6,0.52%,4,26,NA,0,0%,"8,306",94,"1,041",NA,"43,089"
Gibraltar,"1,065",NA,7,0.66%,1,5,NA,0,0%,"98,775",51,"1,009",NA,"33,687"
Saint Martin,801,NA,0,0%,7,12,NA,0,0%,"7,838",114,675,NA,"38,952"
Turks and Caicos Islands,761,NA,5,0.66%,1,6,NA,0,0%,"9,877",15,740,NA,"38,945"
Faroe Islands,514,NA,0,0%,NA,NA,NA,0,0%,"172,325",NA,502,NA,"48,945"
Isle of Man,370,NA,0,0%,NA,25,NA,0,0%,"19,138",1,344,NA,"85,231"
Bermuda,330,NA,0,0%,1,9,NA,0,0%,"114,257",98,223,NA,"62,176"
Cayman Islands,291,NA,0,0%,1,2,NA,0,0%,"54,863",24,265,NA,"66,059"
Caribbean Netherlands,169,NA,0,0%,NA,3,NA,0,0%,"3,851",7,159,NA,"26,330"
Saint Barthelemy,162,NA,0,0%,NA,1,NA,0,0%,"5,315",34,127,NA,"9,890"
British Virgin Islands,72,NA,0,0%,NA,1,NA,0,0%,"6,431",0,71,NA,"30,319"
New Caledonia,36,NA,0,0%,NA,NA,NA,0,0%,"18,012",NA,32,NA,"286,699"
Greenland,19,NA,0,0%,NA,NA,NA,0,0%,"13,742",NA,18,NA,"56,813"
Falkland Islands,17,NA,0,0%,NA,NA,NA,0,0%,"4,454",NA,15,NA,"3,523"
Saint Pierre and Miquelon,16,NA,0,0%,NA,NA,NA,0,0%,"2,882",NA,14,NA,"5,781"
Montserrat,13,NA,0,0%,NA,1,NA,0,0%,626,0,12,NA,"4,993"
Western Sahara,10,NA,0,0%,NA,1,NA,0,0%,NA,NA,8,NA,"603,673"
Anguilla,10,NA,0,0%,NA,NA,NA,0,0%,"2,651",NA,3,NA,"15,062"
Wallis and Futuna,3,NA,0,0%,NA,NA,NA,0,0%,"1,149",NA,1,NA,"11,151"
China,"86,661",60,15,0.02%,5,"4,634",3,0,0%,"160,000,000",284,"81,743",57,"1,439,323,776"
